location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
airoli,1004.67,2,1,2,5,15.4,1,0,13067904
ulwe,780.03,3,2.529589,26,38,7.2,0,0,15339739
ulwe,1287.54,2,3,16.554003,35,10.4,1,0,19454778
panvel,841.04,4,3,14,34,15.4,1,1,14367262
kharghar,814.31,4,4,7,34,1.9,0,0,15050510
ulwe,708.41,3,3,9,16,8.5,1,0,11466200
kharghar,1008.33,2,2,22,34,11.5,0,0,16340732
airoli,413.57,3,2.529589,34,35,12.5,1,1,7439508
ghansoli,950.21,4,2,8,22,11.6,1,0,14703069
nerul,786.08,2.45977,2,34,19.84628,12.7,0,0,12290414
ulwe,1272.85,2,2,16.554003,36,2.2,0,1,20996596
belapur,1302.96,2,3,24,18,14.2,0,0,20181316
cbd belapur,698.38,1,3,28,9,7.3,0,1,9440668
ulwe,535.1,2.45977,1,26,23,6.9,0,1,6880420
panvel,717.33,2,2,0,27,1.9,1,0,8417872
nerul,942.66,1,2,15,34,4.1,0,0,12074384
ghansoli,628.02,2,2,34,17,10.4,0,0,6142680
kharghar,1188.83,2,2.529589,20,37,1.2,1,1,16944488
nerul,699.6,2.45977,3,1,12,5.7,1,1,7884780
nerul,163.78,1,2,3,20,20,1,0,2613405
airoli,351.54,3,2,25,8,2.5,0,0,6316538
vashi,1100.6,2.45977,2,11,9,6.4,1,0,16630868
vashi,1525.78,2,3,28,13,5.2,0,1,24426717
airoli,160.79,1,4,0,9,13.8,1,1,3019558
nerul,1294.73,2,2.529589,21,20,0.5,0,0,18505432
cbd belapur,662.61,2,4,9,34,4.5,1,0,8503987
belapur,1272.24,3,3,22,21,8.5,0,1,14325813
airoli,979.1,3,2.529589,10,1,1,0,0,10776947
nerul,834.01,2.45977,3,21,13,3,1,0,10743096
kharghar,1279.64,2.45977,2.529589,17,26,7,0,0,22829962
belapur,1609.79,2,1,3,24,14.4,1,0,24456626
panvel,1263.62,3,2.529589,27,19.84628,10.2,0,0,22376808
kharghar,4598.47,2,3,28,19.84628,12,0,0,73192702
panvel,763.3,2,3,21,12,0.9,1,1,8187523
airoli,1481.05,2.45977,2,3,1,21.3,0,0,16252828
kharghar,3962.94,3,1,2,9,9.1,0,0,49391176
airoli,586.13,1,1,0,13,5.3,1,0,6497022
ghansoli,-360,4,4,22,20,3.1,0,1,-5654861
belapur,1184.84,4,2,20,5,1.2,1,0,12513789
nerul,252.27,4,2,11,26,11.5,1,1,4327021
kharghar,999.63,3,1,6,5,0.4,1,0,17433573
ghansoli,4550.06,2,2,4,10,1.6,0,0,64376894
panvel,2980.99,3,1,23,17,4.9,0,1,45066556
airoli,1512.55,2.45977,2.529589,12,31,0.6,1,1,14852173
airoli,1070.94,3,3,27,10,8,0,0,19631339
belapur,996.47,3,2.529589,3,32,2.9,0,1,18763967
ulwe,1323.2,3,1,11,35,10.5,0,0,25983033
ulwe,390.37,4,1,17,28,1.1,0,0,8338332
kharghar,1350.42,2,2,10,24,8.2,0,1,17945384
kharghar,1497.88,2.45977,4,6,11,1.1,0,0,23965990
cbd belapur,298.11,4,4,27,10,11.3,1,1,5878853
nerul,848.34,2,4,12,3,2.2,0,1,11679458
kharghar,1578.86,4,2.529589,15,9,14.1,1,1,17439165
nerul,776.98,2,3,20,10,10.4,0,1,11433883
ulwe,984.78,2,1,18,24,4.8,0,0,17679624
airoli,771.34,2,4,23,11,11.7,1,1,10398279
kharghar,1019.52,4,3,6,19.84628,20,1,1,12568863
belapur,986.44,1,1,7,33,18.8,1,1,15592878
airoli,1331.6,2,1,8,10,11.9,0,0,22074309
kharghar,1265.32,2,2.529589,22,36,13.5,1,1,16971841
nerul,1303.62,2.45977,2,32,31,12.4,0,0,11847944
ghansoli,963.61,2,3,7,19,8.7,1,1,18957250
panvel,992.12,4,2,14,10,1.5,0,1,18766413
kharghar,1121.13,4,3,11,32,2.2,1,1,20748714
